Annotation,ENS_PRED,Gene length,Prob_per_len,GENES,UNIPROTKB,WP,non_diazotroph_hits,diazotroph_hits,unicellular_diazotroph_hits,filamentous_diazotroph_hits,avg_group_pident,Protein_names
asr5145,0.1946445895620988,358,0.0005436999708438514,asr5145,Q8YLZ7,WP_010999271,,,,,,Asr5145 protein
alr3670,0.1946124011385394,1807,0.00010769917052492495,alr3670,Q8YQZ0,WP_010997814,,,,,,Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)
alr4990,0.1945628911341867,637,0.0003054362498181895,alr4990,Q8YME4,WP_010999116,,,,,,Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (MGMT) (O-6-methylguanine-DNA-alkyltransferase)
asr1452,0.194555878736747,304,0.0006399864432129836,asr1452,Q8YWY4,WP_010995624,,,,,,Asr1452 protein
all3021,0.1942450696968226,619,0.00031380463602071504,all3021,Q8YSR3,WP_010997172,,,,,,All3021 protein
alr3749,0.1938034743771304,1501,0.00012911623875891433,alr3749,Q8YQS0,WP_010997890,,,,,,Alr3749 protein
asl5277,0.1937831670444369,397,0.00048811880867616347,asl5277,Q8YLM1,WP_010999401,,,,,,HicA
asr5142,0.193668508559985,343,0.0005646312202915014,asr5142,Q8YM00,WP_010999268,,,,,,Asr5142 protein
asl2028,0.1936425725330256,289,0.000670043503574483,asl2028,Q8YVF0,WP_010996189,,,,,,Asl2028 protein
all5116,0.1935358402997206,1867,0.0001036614034813715,all5116,Q8YM25,WP_010999242,,,,,,All5116 protein
alr4880,0.1934293783311848,1432,0.0001350763815161905,alr4880,Q8YMQ3,WP_010999006,,,,,,histidine kinase (EC 2.7.13.3)
all5077,0.1933995768434838,859,0.00022514502542896834,all5077,Q8YM63,WP_010999203,,,,,,All5077 protein
asl3973,0.193369305500554,322,0.0006005257934799813,asl3973,Q8YQ62,WP_010998114,,,,,,Asl3973 protein
all2801,0.1933103452150267,988,0.00019565824414476387,all2801,Q8YTC1,WP_010996952,,,,,,All2801 protein
alr3448,0.1930452461108997,1057,0.00018263504835468278,alr3448,Q8YRJ8,WP_010997598,,,,,,Alr3448 protein
alr5162,0.1929041169799249,1132,0.00017040999733208915,alr5162,Q8YLY4,WP_010999286,,,,,,Alr5162 protein
alr1690,0.1928004396675477,1375,0.00014021850157639834,alr1690,Q8YWC3,WP_010995859,,,,,,Cell wall-binding protein
asr3042,0.1925486887538956,304,0.0006333838445851829,asr3042,Q8YSP2,WP_010997193,0.0,9.0,0.0,9.0,89.55225,CAB/ELIP/HLIP superfamily of proteins
asl1720,0.1924907099902166,379,0.0005078910553831573,asl1720,Q8YW95,WP_010995889,,,,,,Asl1720 protein
asl4263,0.1923856768280975,190,0.0010125561938320923,asl4263,P61048,WP_010998401,,,,,,Cytochrome b6-f complex subunit 8 (Cytochrome b6-f complex subunit PetN) (Cytochrome b6-f complex subunit VIII)
all2913,0.1923036720731104,886,0.00021704703394256252,all2913,Q8YT14,WP_010997064,,,,,,All2913 protein
all2656,0.1922511674725807,1345,0.0001429376709833314,all2656,Q8YTQ7,WP_010996812,,,,,,Serine-type D-Ala-D-Ala carboxypeptidase
alr2045,0.1922338830010281,862,0.0002230091450127936,alr2045,Q8YVD3,WP_010996206,,,,,,Alr2045 protein
alr3874,0.1919556930779907,814,0.00023581780476411636,alr3874,Q8YQF7,WP_010998015,,,,,,Alr3874 protein
all2792,0.1919498282945691,1294,0.0001483383526233146,all2792,Q8YTD0,WP_010996943,,,,,,All2792 protein
all5172,0.1917207043204826,475,0.0004036225354115423,all5172,Q8YLX4,WP_010999296,,,,,,Two-component response regulator
alr2510,0.1916179951409153,1051,0.0001823196909047719,alr2510,Q8YU46,WP_010996666,,,,,,Alr2510 protein
alr3265,0.1915438694703375,1336,0.00014337115978318676,alr3265,Q8YS26,WP_010997416,3.0,10.0,5.0,5.0,94.734,"Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)"
all5171,0.1915401027760824,538,0.0003560224958663242,all5171,Q8YLX5,WP_010999295,,,,,,All5171 protein
all0982,0.1915319147199839,1474,0.00012994024065127809,all0982,Q8YY69,WP_010995156,2.0,10.0,5.0,5.0,97.4765,Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC)
alr1216,0.1913679760543426,550,0.00034794177464425927,alr1216,Q8YXJ7,WP_044522799,,,,,,Photosystem II extrinsic protein U (PSII-U) (PsbU) (Photosystem II 12 kDa extrinsic protein) (PS II complex 12 kDa extrinsic protein)
all2685,0.1912916878915595,490,0.00039039119977869285,all2685,Q8YTN0,WP_010996840,,,,,,All2685 protein
all1006,0.1911909673295645,820,0.00023315971625556648,all1006,Q8YY46,WP_010995180,,,,,,All1006 protein
alr3789,0.1910771994515545,2401,7.958234046295481e-05,alr3789,Q8YQN1,WP_010997930,,,,,,Alr3789 protein
alr1180,0.1910181772327138,1369,0.00013953117401951337,alr1180,Q8YXN2,WP_010995353,,,,,,Alr1180 protein
all4355,0.1909403718713073,724,0.00026372979540235816,all4355,Q8YP45,WP_010998492,,,,,,All4355 protein
alr0585,0.1909066227702364,1075,0.00017758755606533618,alr0585,Q8YZ94,WP_010994761,,,,,,Alr0585 protein
asl3609,0.1907872656362955,367,0.0005198563096356825,asl3609,Q8YR41,WP_010997758,,,,,,Asl3609 protein
alr4586,0.1907867735476751,2167,8.80418890390748e-05,alr4586,Q8YNH9,WP_010998718,,,,,,histidine kinase (EC 2.7.13.3)
all1703,0.1907439367096276,1774,0.00010752194853981263,all1703,Q8YWB2,WP_010995872,,,,,,Two-component response regulator
all1417,0.1906634265384902,1504,0.0001267708953048472,all1417,Q8YX02,WP_010995589,2.0,10.0,5.0,5.0,93.576,3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)
alr2376,0.1905516605988876,505,0.0003773300209878962,alr2376,Q8YUH0,WP_010996532,,,,,,Alr2376 protein
alr2862,0.1904789228469468,649,0.0002934960290399797,alr2862,Q8YT64,WP_010997013,,,,,,Alr2862 protein
all0796,0.1904274318295144,1900,0.00010022496412079705,all0796,Q8YYQ0,WP_010994970,,,,,,All0796 protein
asl5079,0.190311598359671,397,0.00047937430317297487,asl5079,Q8YM61,WP_010999205,0.0,5.0,0.0,5.0,87.46225000000001,Asl5079 protein
all4508,0.1902520823600128,409,0.0004651640155501535,all4508,Q8YNQ4,WP_010998641,0.0,5.0,0.0,5.0,90.99224999999998,All4508 protein
alr1712,0.1899334593954756,2662,7.134990961512982e-05,alr1712,Q8YWA3,WP_010995881,,,,,,Alr1712 protein
asr2607,0.1899073908353446,298,0.0006372731236085389,asr2607,Q8YTV6,WP_010996763,,,,,,Asr2607 protein
asl3438,0.1898529995926675,307,0.000618413679454943,asl3438,Q8YRK8,WP_010997588,,,,,,Asl3438 protein
alr1260,0.1898244747970544,892,0.00021280770717158564,alr1260,Q8YXF3,WP_010995432,,,,,,Alr1260 protein
all1882,0.1897340200675512,802,0.00023657608487225834,all1882,Q8YVU2,WP_010996046,,,,,,All1882 protein
alr5231,0.1894832179415217,790,0.00023985217460952113,alr5231,Q8YLR5,WP_010999355,,,,,,Alr5231 protein
all2772,0.1894790851633186,1336,0.00014182566254739416,all2772,Q8YTE5,WP_010996925,,,,,,histidine kinase (EC 2.7.13.3)
alr2485,0.1893698624477003,1801,0.00010514706410199905,alr2485,Q8YU69,WP_010996641,0.0,5.0,0.0,5.0,87.081,Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing])
all2643,0.18923866102899,3409,5.551148754150484e-05,all2643,Q8YTS0,WP_010996799,,,,,,Microcystin synthetase B
asr3043,0.1892351309987369,304,0.0006224839835484767,asr3043,Q8YSP1,WP_010997194,0.0,9.0,0.0,9.0,89.17925,CAB/ELIP/HLIP superfamily of proteins
all2059,0.1887428772774275,694,0.000271963800111567,all2059,Q8YVB9,WP_010996220,,,,,,All2059 protein
alr4810,0.1886282706892744,418,0.00045126380547673303,alr4810,Q8YMW4,WP_010998940,,,,,,Alr4810 protein
all4391,0.1885742040843564,895,0.00021069743473112448,all4391,Q05069,WP_041456288,1.0,5.0,0.0,5.0,92.248,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase)
all4593,0.1885578175094925,1405,0.00013420485231992348,all4593,Q8YNH3,WP_010998724,,,,,,All4593 protein
all3319,0.1884338034756535,403,0.0004675776761182469,all3319,Q8YRX3,WP_010997470,,,,,,All3319 protein
asl3929,0.1884255822861444,304,0.0006198209943623171,asl3929,Q8YQA4,WP_010998070,,,,,,Asl3929 protein
asl3998,0.1883807306944378,349,0.000539772867319306,asl3998,Q8YQ38,WP_010998138,,,,,,Asl3998 protein
alr2143,0.1883459461778646,892,0.00021115016387652981,alr2143,Q8YV38,WP_010996301,,,,,,Alr2143 protein
alr3382,0.188328021968411,607,0.00031026033273214335,alr3382,Q8YRR1,WP_010997533,,,,,,Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C)
alr4821,0.1881612148090811,1159,0.0001623478988861787,alr4821,Q8YMV5,WP_010998949,,,,,,Alr4821 protein
asr1277,0.187903995511904,217,0.0008659170300087742,asr1277,Q8YXD6,WP_010995449,0.0,9.0,4.0,5.0,96.7105,Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein)
all1357,0.1876784435114926,1144,0.00016405458348906694,all1357,Q8YX58,WP_010995529,,,,,,"Coproporphyrinogen-III oxidase, aerobic 2 (Coprogen oxidase 2) (Coproporphyrinogenase 2) (EC 1.3.3.3)"
all5308,0.1875710428358538,1414,0.0001326527884270536,all5308,Q8YLJ0,WP_010999432,,,,,,histidine kinase (EC 2.7.13.3)
alr4881,0.1875537181017315,1249,0.00015016310496535748,alr4881,Q8YMQ2,WP_010999007,,,,,,Alr4881 protein
all0350,0.1875019476784111,661,0.0002836640660792906,all0350,Q8YZV5,WP_010994526,,,,,,All0350 protein
all0005,0.1874273309620244,1621,0.00011562451015547464,all0005,P12405,WP_010994182,2.0,9.0,4.0,5.0,95.5535,ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)
alr3485,0.187358324479163,721,0.00025985897986014286,alr3485,Q8YRG3,WP_010997635,,,,,,Alr3485 protein
alr1208,0.1872778205132335,649,0.00028856366797108397,alr1208,Q8YXK4,WP_010995381,0.0,5.0,0.0,5.0,87.15375,Ribosome-recycling factor (RRF) (Ribosome-releasing factor)
all2290,0.1872604287182215,1378,0.00013589290908434072,all2290,Q8YUP5,WP_010996447,,,,,,All2290 protein
all2430,0.1871869701685946,6247,2.9964298090058364e-05,all2430,Q8YUC2,WP_010996586,,,,,,All2430 protein
all3029,0.1871539738068585,481,0.00038909350063795944,all3029,Q8YSQ5,WP_010997180,,,,,,All3029 protein
all2318,0.1871097362976813,895,0.00020906115787450424,all2318,Q8YUM2,WP_010996474,,,,,,All2318 protein
asl3597,0.1871037281648891,361,0.0005182928758030169,asl3597,Q8YR53,WP_010997746,,,,,,Asl3597 protein
alr2678,0.1868516231880015,3721,5.02154321924218e-05,alr2678,Q8YTN6,WP_010996834,,,,,,Alr2678 protein
alr2140,0.1865613628010673,658,0.0002835279069925035,alr2140,Q8YV41,WP_010996298,,,,,,Alr2140 protein
alr0784,0.1863882707465448,415,0.00044912836324468626,alr0784,Q8YYR2,WP_010994958,,,,,,Ferredoxin
all3616,0.1863540769783152,415,0.0004490459686224462,all3616,Q8YR36,WP_010997763,,,,,,All3616 protein
asl1933,0.1863298674915089,334,0.0005578738547649967,asl1933,Q8YVP1,WP_010996097,,,,,,Asl1933 protein
alr4525,0.1861748432486023,421,0.0004422205302817157,alr4525,Q8YNN9,WP_010998658,,,,,,Alr4525 protein
all3132,0.1861557431114427,1246,0.00014940268307499414,all3132,Q8YSF6,WP_010997283,,,,,,"ABC transport protein, ATP-binding subunit"
asr0923,0.1861139342946262,304,0.0006122168891270598,asr0923,Q8YYC7,WP_010995097,,,,,,Asr0923 protein
alr2130,0.1857683875974273,469,0.000396094643064877,alr2130,Q8YV51,WP_010996288,,,,,,Alr2130 protein
asl2779,0.1857046797800716,394,0.00047133167456870967,asl2779,Q9WX35,WP_010996930,,,,,,Asl2779 protein
alr0965,0.1856647089363705,1546,0.00012009360215806629,alr0965,Q8YY86,WP_010995139,,,,,,Alr0965 protein
alr2590,0.1852315647977343,1093,0.00016947078206563067,alr2590,Q8YTX3,WP_010996746,,,,,,Iron(III) dicitrate-binding periplasmic protein
asl4353,0.184847843801495,361,0.0005120438886468006,asl4353,Q8YP47,WP_010998490,,,,,,Molybdopterin synthase sulfur carrier subunit
all4761,0.1847855993177544,634,0.00029145993583242017,all4761,Q8YN12,WP_010998891,,,,,,All4761 protein
asr3686,0.1847587498643873,334,0.0005531699097736147,asr3686,Q8YQX5,WP_010997829,,,,,,Asr3686 protein
all1035,0.1846517019110804,541,0.00034131553033471426,all1035,Q8YY17,WP_010995209,0.0,5.0,0.0,5.0,91.21125,Transcriptional regulator
all3650,0.1845072840259794,667,0.0002766226147316033,all3650,Q8YR08,WP_010997794,,,,,,All3650 protein
all2995,0.1842124272125763,850,0.00021672050260303094,all2995,P58563,WP_010997146,1.0,5.0,0.0,5.0,93.47375,Isoprenyl transferase 1 (EC 2.5.1.-)
alr4114,0.1842037246697857,574,0.00032091241231669985,alr4114,Q8YPS7,WP_010998253,,,,,,Alr4114 protein
alr1946,0.1841773249862412,1468,0.00012546139304239865,alr1946,Q8YVM8,WP_010996110,,,,,,Xaa-Pro aminopeptidase (EC 3.4.11.9)
alr4569,0.1841530766730019,541,0.00034039385706654694,alr4569,Q8YNJ6,WP_010998701,,,,,,Alr4569 protein
alr1147,0.184117020924159,3487,5.2800981050805564e-05,alr1147,Q8YXR4,WP_010995320,,,,,,Alr1147 protein
alr0088,0.1840646701934526,460,0.00040014058737707087,alr0088,P0A4K0,WP_010994265,0.0,5.0,0.0,5.0,88.12525,Single-stranded DNA-binding protein 1 (SSB 1)
alr4882,0.1840443968036635,1129,0.00016301540903778874,alr4882,Q8YMQ1,WP_010999008,,,,,,histidine kinase (EC 2.7.13.3)
all4476,0.1838510050505316,547,0.0003361078702934764,all4476,Q8YNT5,WP_010998609,,,,,,All4476 protein
asr3368,0.1838414332427439,328,0.0005604921745205607,asr3368,Q8YRS5,WP_010997519,,,,,,Asr3368 protein
all3745,0.1837804981863545,859,0.0002139470293205524,all3745,Q8YQS4,WP_010997886,,,,,,All3745 protein
alr0942,0.1837773459630821,1003,0.00018322766297415962,alr0942,Q8YYA9,WP_010995116,,,,,,Alr0942 protein
all2547,0.1835666252460828,451,0.0004070213420090528,all2547,Q8YU14,WP_010996703,,,,,,All2547 protein
alr2049,0.1834271819133307,565,0.00032464987949262075,alr2049,Q8YVC9,WP_010996210,,,,,,Two-component response regulator
asl2420,0.1834138886000665,367,0.0004997653640328787,asl2420,Q8YUD2,WP_010996576,,,,,,Asl2420 protein
alr1524,0.1833422182146811,1531,0.00011975324507817186,alr1524,P00879,WP_010995693,3.0,10.0,5.0,5.0,96.271,Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)
alr1490,0.1832808126768368,2053,8.927462867843975e-05,alr1490,Q8YWV4,WP_010995660,,,,,,ABC transporter ATP-binding component
alr1533,0.1829959307151425,1345,0.00013605645406330298,alr1533,P58555,WP_010995702,,,,,,Ribulose bisphosphate carboxylase/oxygenase activase (RA) (RuBisCO activase)
all1368,0.1828202120379636,736,0.000248397027225494,all1368,Q8YX49,WP_010995540,0.0,5.0,0.0,5.0,88.507,Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)
alr4072,0.1827506749342681,1582,0.00011551875785984077,alr4072,Q8YPW8,WP_010998212,,,,,,Alr4072 protein
alr1794,0.1826377593117873,535,0.00034137898936782674,alr1794,Q8YW22,WP_010995962,,,,,,Alr1794 protein
all3458,0.1825578533329233,619,0.00029492383414042535,all3458,Q8YRI8,WP_010997608,,,,,,All3458 protein
asr3845,0.1825046834812337,349,0.0005229360558201538,asr3845,Q8YQI2,WP_010997986,1.0,8.0,3.0,5.0,92.683,Cytochrome b559 subunit alpha (PSII reaction center subunit V)
alr0627,0.1824884626056034,2824,6.462056041274907e-05,alr0627,Q8YZ60,WP_010994803,,,,,,Alr0627 protein
alr3533,0.1824610986223566,655,0.0002785665627822238,alr3533,Q8YRB5,WP_010997683,,,,,,Alr3533 protein
all3759,0.1824469269167884,1291,0.00014132217421904602,all3759,Q8YQR0,WP_010997900,,,,,,Two-component response regulator
asr3846,0.1824071417986787,238,0.0007664165621793223,asr3846,Q8YQI1,WP_010997987,3.0,10.0,5.0,5.0,93.889,Cytochrome b559 subunit beta (PSII reaction center subunit VI)
alr1014,0.1823474326825177,442,0.00041255075267537946,alr1014,Q8YY38,WP_010995188,,,,,,Alr1014 protein
alr2861,0.1822092462722386,1507,0.00012090859075795528,alr2861,Q8YT65,WP_010997012,,,,,,Alr2861 protein
asl3778,0.1820946800721815,292,0.000623611918055416,asl3778,Q8YQP2,WP_010997919,,,,,,Asl3778 protein
alr4537,0.1820784766506553,859,0.00021196563055955216,alr4537,Q8YNM7,WP_010998670,0.0,5.0,0.0,5.0,89.9805,Alr4537 protein
alr0353,0.1820603494044699,1018,0.0001788412076664734,alr0353,Q8YZV2,WP_010994529,,,,,,Transcriptional regulator
all3586,0.1820574024583174,580,0.0003138920732039955,all3586,Q8YR64,WP_010997735,,,,,,All3586 protein
all0394,0.1820428138896997,1921,9.476460900036423e-05,all0394,Q8YZR3,WP_010994570,,,,,,All0394 protein
all1478,0.1819307353061293,859,0.00021179363830748464,all1478,Q8YWW6,WP_010995648,,,,,,All1478 protein
all3515,0.1818896435422722,1015,0.00017920161925347012,all3515,Q8YRD3,WP_010997665,,,,,,All3515 protein
asr4669,0.181879199620099,295,0.0006165396597291492,asr4669,Q8YN98,WP_010998800,,,,,,Asr4669 protein
all1287,0.1818612871896548,463,0.00039278895721307734,all1287,Q8YXC7,WP_010995459,,,,,,All1287 protein
all0268,0.1818436667089323,868,0.0002094973118766501,all0268,Q8Z035,WP_010994445,,,,,,All0268 protein
all0010,0.1818299629800362,856,0.00021241818105144415,all0010,P12404,WP_010994187,0.0,7.0,2.0,5.0,90.03200000000001,ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)
asr0043,0.1818159656464065,310,0.0005865031149884081,asr0043,Q8Z0P7,WP_010994220,0.0,5.0,0.0,5.0,88.11099999999999,Asr0043 protein
alr2945,0.1817957641230782,1603,0.00011340970937185166,alr2945,Q8YSY4,WP_044523080,,,,,,Bifunctional enzyme PyrF/PyrE [Includes: Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase); Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)]
all4304,0.1817830083029744,1495,0.0001215939854869394,all4304,Q8YP95,WP_010998442,,,,,,All4304 protein
alr3755,0.1817428742852831,1588,0.00011444765383204226,alr3755,Q8YQR4,WP_010997896,,,,,,Alr3755 protein
all2641,0.1816983547153113,3160,5.749947934028838e-05,all2641,Q8YTS2,WP_010996797,,,,,,Polyketide synthase
all4630,0.1816521884848435,487,0.0003730024404206232,all4630,Q8YND6,WP_010998761,,,,,,All4630 protein
asr0654,0.1815782837299266,298,0.0006093230997648543,asr0654,Q8YZ33,WP_010994830,0.0,5.0,0.0,5.0,91.53875,Asr0654 protein
all0070,0.1814684943999653,913,0.00019876067294629277,all0070,Q8Z0M1,WP_010994247,,,,,,superoxide dismutase (EC 1.15.1.1)
all2511,0.181457529374512,715,0.00025378675436994687,all2511,Q44303,WP_010996667,,,,,,All2511 protein (PatB (patB) and ORF2 genes)
all2032,0.1812063890987634,1273,0.00014234594587491235,all2032,Q8YVE6,WP_010996193,,,,,,All2032 protein
asl4654,0.1811887975039861,376,0.00048188509974464384,asl4654,Q8YNB3,WP_010998785,,,,,,Transglycosylase-associated protein
asl3025,0.1811439515617443,376,0.0004817658286216603,asl3025,Q8YSQ9,WP_010997176,,,,,,Asl3025 protein
all4345,0.1811079630484819,1018,0.00017790566114782113,all4345,Q8YP55,WP_010998482,,,,,,Polysaccharide deacetylase
asr2448,0.1810997825909186,358,0.0005058653144997727,asr2448,Q8YUA4,WP_010996604,0.0,7.0,2.0,5.0,90.52175,Asr2448 protein
alr0084,0.1810482552954658,478,0.0003787620403670833,alr0084,Q8Z0K7,WP_010994261,,,,,,Alr0084 protein
alr1045,0.1810217378656679,1012,0.00017887523504512637,alr1045,Q8YY09,WP_010995219,,,,,,Alr1045 protein
all5063,0.1810111295345725,727,0.0002489836719870323,all5063,Q8YM77,WP_010999189,,,,,,Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)
all4135,0.1810103348758251,487,0.00037168446586411725,all4135,Q8YPQ7,WP_010998274,,,,,,All4135 protein
all1974,0.1809022507588563,3730,4.849926293803118e-05,all1974,Q8YVK3,WP_010996136,,,,,,All1974 protein
all5315,0.1807681868251485,967,0.00018693711150480713,all5315,Q8YLI3,WP_010999439,,,,,,All5315 protein
all2103,0.1807403515285824,694,0.0002604327831823954,all2103,Q8YV78,WP_010996261,,,,,,All2103 protein
all1235,0.1805396757208833,1504,0.00012003967800590646,all1235,Q8YXH8,WP_010995407,,,,,,All1235 protein
asl2713,0.1803761026691897,316,0.0005708104514847775,asl2713,Q8YTK4,WP_010996866,,,,,,Asl2713 protein
alr4693,0.1803491507999024,601,0.000300081781697009,alr4693,Q8YN77,WP_010998824,,,,,,Alr4693 protein
all1710,0.1803330180660197,2815,6.40614629008951e-05,all1710,Q8YWA5,WP_010995879,,,,,,All1710 protein
alr3758,0.1803223576335506,439,0.0004107570788919148,alr3758,Q8YQR1,WP_010997899,,,,,,Anti-sigma factor antagonist
alr3203,0.1802547976366716,589,0.00030603531007923873,alr3203,Q8YS88,WP_010997354,,,,,,Alr3203 protein
all3835,0.1801953594255487,631,0.00028557109259199476,all3835,Q8YQI8,WP_010997976,,,,,,All3835 protein
alr3473,0.1801706780607263,2431,7.411381244785122e-05,alr3473,Q8YRH4,WP_010997623,,,,,,type I site-specific deoxyribonuclease (EC 3.1.21.3)
alr0169,0.1801474398164431,2029,8.878631829297344e-05,alr0169,Q8Z0C9,WP_010994346,,,,,,Alpha-amylase (EC 3.2.1.1)
alr3165,0.1800330198062459,886,0.00020319753928470192,alr3165,Q8YSC4,WP_010997316,,,,,,Bacteriorhodopsin
alr4056,0.1799605768767535,436,0.00041275361668980157,alr4056,Q8YPY4,WP_010998196,,,,,,Alr4056 protein
all0797,0.1799496183600333,1189,0.00015134534765351833,all0797,Q8YYP9,WP_010994971,3.0,10.0,5.0,5.0,94.7515,Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)
alr2593,0.1799258807015875,1102,0.0001632721240486275,alr2593,Q8YTX0,WP_010996749,,,,,,Iron(III) dicitrate-binding periplasmic protein
all0002,0.1799083857394667,838,0.0002146878111449483,all0002,Q8Z0S3,WP_010994179,,,,,,All0002 protein
all5020,0.1797785096367676,652,0.0002757339104858399,all5020,Q8YMB4,WP_010999146,,,,,,All5020 protein
all0493,0.179741793658264,2284,7.869605676806656e-05,all0493,Q8YZG7,WP_010994669,,,,,,All0493 protein
alr2489,0.1797102952426499,736,0.00024417159679707867,alr2489,Q8YU65,WP_010996645,,,,,,Alr2489 protein
alr4795,0.1796146604072393,574,0.0003129175268418803,alr4795,Q8YMX9,WP_010998925,,,,,,Alr4795 protein
all3781,0.1794934145040549,559,0.00032109734258328244,all3781,Q8YQN9,WP_010997922,,,,,,All3781 protein
asl0629,0.1794390619625693,346,0.0005186100056721656,asl0629,Q8YZ58,WP_010994805,,,,,,Asl0629 protein
asl5085,0.1794311428956384,361,0.0004970391769962283,asl5085,Q8YM55,WP_010999211,,,,,,Asl5085 protein
all2416,0.1793899993420458,1099,0.00016323020868248025,all2416,Q8YUD6,WP_010996572,,,,,,All2416 protein
alr0895,0.1793127617627667,1270,0.0001411911509943045,alr0895,Q8YYF5,WP_010995069,,,,,,Alcohol dehydrogenase
alr4646,0.1792591795074178,1567,0.00011439641321468909,alr4646,Q8YNC1,WP_010998777,,,,,,Neopullulanase
all0008,0.1791036435553537,592,0.00030253993843809747,all0008,P12410,WP_010994185,,,,,,ATP synthase subunit b' (ATP synthase F(0) sector subunit b') (ATPase subunit II) (F-type ATPase subunit b') (F-ATPase subunit b')
asl4325,0.1790940762961123,382,0.00046883266046102693,asl4325,Q8YP75,WP_010998463,2.0,5.0,0.0,5.0,93.25025,ATP-dependent Clp protease adapter protein ClpS
alr0821,0.1790915141039035,523,0.0003424311933153031,alr0821,Q8YYM7,WP_010994995,0.0,5.0,0.0,5.0,88.75,Alr0821 protein
alr2589,0.1790369450220899,1054,0.00016986427421450653,alr2589,Q8YTX4,WP_010996745,,,,,,Alr2589 protein
all2721,0.1787996165866237,844,0.00021184788695097594,all2721,Q8YTJ6,WP_010996874,,,,,,All2721 protein
alr2746,0.1787420511544537,454,0.00039370495848998615,alr2746,Q8YTH1,WP_010996899,,,,,,Alr2746 protein
alr1576,0.1786875628932482,1960,9.116712392512663e-05,alr1576,Q8YWM9,WP_010995745,,,,,,Dehydrogenase subunit
all2655,0.17858589991396,9889,1.805904539528365e-05,all2655,Q8YTQ8,WP_010996811,,,,,,All2655 protein
all2027,0.1785064817127193,436,0.000409418536038347,all2027,Q8YVF1,WP_010996188,,,,,,All2027 protein
all5012,0.1784499043504583,1489,0.00011984546967794378,all5012,Q8YMC2,WP_010999138,0.0,5.0,0.0,5.0,90.32775,Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)
asr4588,0.1784343129837751,307,0.0005812192605334694,asr4588,Q8YNH7,WP_010998720,,,,,,Asr4588 protein
all4633,0.1784317748045459,892,0.00020003562197819046,all4633,Q8YND3,WP_010998764,,,,,,All4633 protein
asr0798,0.1784220413537115,343,0.0005201808785822492,asr0798,Q8YYP8,WP_010994972,0.0,5.0,0.0,5.0,94.50475,Asr0798 protein
alr3241,0.1783608731611222,880,0.00020268281041036613,alr3241,Q8YS50,WP_010997392,,,,,,ATP-binding protein of ferrichrome ABC transporter
all1003,0.1783198973105313,499,0.0003573545036283192,all1003,Q8YY49,WP_010995177,,,,,,All1003 protein
asr2600,0.1782785441462647,289,0.0006168807755926114,asr2600,Q8YTW3,WP_010996756,,,,,,Asr2600 protein
alr3525,0.1779785462592904,1378,0.0001291571453260453,alr3525,Q8YRC3,WP_010997675,,,,,,Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)
alr0488,0.1779758049125639,913,0.00019493516419776989,alr0488,Q8YZH2,WP_010994664,,,,,,Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase)
asr3019,0.1779218207853562,328,0.0005424445755651103,asr3019,Q8YSR5,WP_010997170,,,,,,Asr3019 protein
